sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
2.0,3.0,1.5,20,815,-0.0039325,0.3669,-0.080649
2.0,3.0,2.0,10,804,-0.00387171,0.4254,-0.080949
1.5,2.0,2.5,10,1647,-0.00363471,0.473,-0.081679
1.5,2.0,2.5,7,1699,-0.00343229,0.4803,-0.081735
2.0,3.0,1.0,10,852,-0.00343,0.3545,-0.081797
1.5,2.5,2.0,15,1614,-0.00384975,0.4387,-0.082145
1.5,2.5,2.0,10,1654,-0.00367508,0.4468,-0.082157
1.5,2.0,2.5,5,1775,-0.00324362,0.4687,-0.082356
2.5,2.0,1.5,7,428,-0.00336697,0.4322,-0.082487
2.0,1.5,1.0,5,921,-0.00287248,0.4267,-0.08254
1.5,2.5,1.5,15,1706,-0.00366772,0.4027,-0.08262
1.75,3.0,2.5,5,1179,-0.0034656,0.4487,-0.083407
2.0,2.5,2.5,10,803,-0.00408637,0.4533,-0.083822
1.75,1.5,2.0,5,1288,-0.00325544,0.4783,-0.08401
1.75,2.5,2.5,10,1127,-0.00403925,0.4463,-0.084166
2.0,2.5,2.0,15,808,-0.00404915,0.4257,-0.084269
2.0,1.5,1.5,7,903,-0.00320679,0.4718,-0.084274
2.0,2.5,1.0,10,870,-0.00343522,0.3609,-0.084305
1.75,3.0,1.5,20,1139,-0.00406531,0.367,-0.084431
1.5,2.5,2.0,7,1704,-0.00357015,0.4589,-0.084432
1.75,3.0,1.0,5,1260,-0.00320684,0.396,-0.08447
1.75,3.0,2.5,7,1132,-0.00386863,0.4496,-0.084646
1.75,2.5,1.0,10,1247,-0.00348985,0.3553,-0.084667
1.75,3.0,1.0,7,1235,-0.00338223,0.3741,-0.084683
1.75,2.5,2.0,20,1128,-0.00415528,0.4264,-0.084815
2.5,2.0,2.0,5,423,-0.00346288,0.4586,-0.085199
1.5,2.5,2.5,5,1739,-0.00342314,0.46,-0.085892
2.0,1.5,2.5,5,876,-0.00335372,0.4806,-0.085978
2.0,3.0,1.5,15,821,-0.00410913,0.3715,-0.086755
2.5,2.5,1.5,5,428,-0.00349327,0.4322,-0.087097
1.5,2.0,1.5,5,1882,-0.00332062,0.4511,-0.087979
1.5,2.5,1.5,5,1843,-0.00337927,0.4438,-0.088155
1.75,2.0,1.0,20,1278,-0.0035392,0.3654,-0.088226
1.75,2.0,1.0,15,1278,-0.00354637,0.3662,-0.088647
2.0,2.5,1.5,20,834,-0.00411499,0.3813,-0.088945
1.75,3.0,1.5,15,1151,-0.00421282,0.3701,-0.089406
1.5,2.0,2.0,20,1678,-0.00401583,0.4631,-0.08946
1.5,2.0,1.5,10,1792,-0.00369315,0.4297,-0.089667
